"Vertical","ATT","Std.Error","Conf.Low","Conf.High","N_Treated"
"tech",-6.981901531566,2.49940785181389,-11.8807409211212,-2.08306214201078,342
"achterklap",-7.96787013603518,1.81539116283487,-11.5260368151915,-4.40970345687885,818
"economie",-5.89913117840883,1.30555124201748,-8.4580116127631,-3.34025074405456,1637
"Media_en_Cultuur",-9.26502658274071,1.55899564731113,-12.3206580514705,-6.2093951140109,1324
"goed_nieuws",NA,NA,NA,NA,0
