"Vertical","ATT","Std.Error","Conf.Low","Conf.High","N_Treated"
"tech",-9.51300291870375,2.54389803527839,-14.4990430678494,-4.5269627695581,288
"achterklap",-10.4332261961841,1.91946477372579,-14.1953771526867,-6.67107523968159,731
"economie",-8.68285465092248,1.38317019891333,-11.3938682407926,-5.97184106105236,1400
"Media_en_Cultuur",-12.0914574249476,1.57175405436739,-15.1720953715077,-9.01081947838752,1148
"goed_nieuws",NA,NA,NA,NA,0
