"Vertical","ATT","Std.Error","Conf.Low","Conf.High","N_Treated"
"tech",-7.73756037091484,2.42893928330958,-12.4982813662016,-2.97683937562806,321
"achterklap",-8.92082974173848,1.83255686776074,-12.5126412025495,-5.32901828092743,782
"economie",-7.74919372599317,1.42563948573162,-10.5434471180271,-4.9549403339592,1553
"Media_en_Cultuur",-10.0365220310812,1.53429725818431,-13.0437446571225,-7.02929940503995,1245
"goed_nieuws",NA,NA,NA,NA,0
