"Tier","ATT","Std.Error","Conf.Low","Conf.High","N_Treated"
"tier_0",1.4245781461233,3.67392634479331,-5.77631748967158,8.62547378191819,192
"tier_1",-7.98007385227231,5.0329700402872,-17.8446951312352,1.8845474266906,177
"tier_2",-5.15016740110605,5.10984920664907,-15.1654718461382,4.86513704392612,162
"tier_3",-7.12524234631821,4.70701979956923,-16.3510011534739,2.10051646083749,200
